Year,Sport,Discipline,Country,Gender,Medal
1920,Football,Football,BEL,Men,Gold
1920,Football,Football,BEL,Men,Gold
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Silver
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Gymnastics,Artistic G.,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Hockey,Hockey,BEL,Men,Bronze
1920,Sailing,Sailing,BEL,Men,Gold
1920,Sailing,Sailing,BEL,Men,Gold
1920,Sailing,Sailing,BEL,Men,Gold
1920,Sailing,Sailing,BEL,Men,Silver
1920,Sailing,Sailing,BEL,Men,Silver
1920,Sailing,Sailing,BEL,Men,Silver
1920,Sailing,Sailing,BEL,Men,Bronze
1920,Sailing,Sailing,BEL,Men,Bronze
1920,Sailing,Sailing,BEL,Men,Bronze
1920,Sailing,Sailing,BEL,Men,Bronze
1920,Sailing,Sailing,BEL,Men,Bronze
1920,Shooting,Shooting,BEL,Men,Silver
1920,Shooting,Shooting,BEL,Men,Silver
1920,Shooting,Shooting,BEL,Men,Silver
1920,Shooting,Shooting,BEL,Men,Silver
1920,Shooting,Shooting,BEL,Men,Silver
1920,Shooting,Shooting,BEL,Men,Silver
1920,Tug of War,Tug of War,BEL,Men,Bronze
1920,Tug of War,Tug of War,BEL,Men,Bronze
1920,Tug of War,Tug of War,BEL,Men,Bronze
1920,Tug of War,Tug of War,BEL,Men,Bronze
1920,Tug of War,Tug of War,BEL,Men,Bronze
1920,Tug of War,Tug of War,BEL,Men,Bronze
1920,Tug of War,Tug of War,BEL,Men,Bronze
1920,Tug of War,Tug of War,BEL,Men,Bronze
1920,Weightlifting,Weightlifting,BEL,Men,Gold
1920,Weightlifting,Weightlifting,BEL,Men,Bronze
1920,Weightlifting,Weightlifting,BEL,Men,Silver
1924,Aquatics,Swimming,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Aquatics,Water polo,BEL,Men,Silver
1924,Boxing,Boxing,BEL,Men,Gold
1924,Boxing,Boxing,BEL,Men,Bronze
1924,Cycling,Cycling Road,BEL,Men,Silver
1924,Cycling,Cycling Road,BEL,Men,Silver
1924,Cycling,Cycling Road,BEL,Men,Silver
1924,Cycling,Cycling Road,BEL,Men,Silver
1924,Cycling,Cycling Track,BEL,Men,Bronze
1924,Cycling,Cycling Track,BEL,Men,Bronze
1924,Cycling,Cycling Track,BEL,Men,Bronze
1924,Cycling,Cycling Track,BEL,Men,Bronze
1924,Fencing,Fencing,BEL,Men,Gold
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Bronze
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Fencing,Fencing,BEL,Men,Silver
1924,Sailing,Sailing,BEL,Men,Gold
1924,Wrestling,Wrestling Free.,BEL,Men,Silver
1928,Boxing,Boxing,BEL,Men,Bronze
1928,Rowing,Rowing,BEL,Men,Bronze
1928,Rowing,Rowing,BEL,Men,Bronze
1928,Rowing,Rowing,BEL,Men,Bronze
1928,Wrestling,Wrestling Free.,BEL,Men,Silver
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Aquatics,Water polo,BEL,Men,Bronze
1936,Cycling,Cycling Road,BEL,Men,Bronze
1936,Cycling,Cycling Road,BEL,Men,Bronze
1936,Cycling,Cycling Road,BEL,Men,Bronze
1948,Athletics,Athletics,BEL,Men,Gold
1948,Athletics,Athletics,BEL,Men,Bronze
1948,Boxing,Boxing,BEL,Men,Silver
1948,Cycling,Cycling Road,BEL,Men,Bronze
1948,Cycling,Cycling Road,BEL,Men,Gold
1948,Cycling,Cycling Road,BEL,Men,Gold
1948,Cycling,Cycling Road,BEL,Men,Gold
1948,Cycling,Cycling Track,BEL,Men,Silver
1948,Fencing,Fencing,BEL,Men,Bronze
1948,Fencing,Fencing,BEL,Men,Bronze
1948,Fencing,Fencing,BEL,Men,Bronze
1948,Fencing,Fencing,BEL,Men,Bronze
1948,Fencing,Fencing,BEL,Men,Bronze
1948,Fencing,Fencing,BEL,Men,Bronze
1952,Cycling,Cycling Road,BEL,Men,Gold
1952,Cycling,Cycling Road,BEL,Men,Silver
1952,Cycling,Cycling Road,BEL,Men,Gold
1952,Cycling,Cycling Road,BEL,Men,Gold
1952,Cycling,Cycling Road,BEL,Men,Gold
1952,Rowing,Rowing,BEL,Men,Silver
1952,Rowing,Rowing,BEL,Men,Silver
1956,Sailing,Sailing,BEL,Men,Silver
1956,Wrestling,Wrestling Free.,BEL,Men,Silver
1960,Athletics,Athletics,BEL,Men,Silver
1960,Cycling,Cycling Road,BEL,Men,Bronze
1960,Cycling,Cycling Track,BEL,Men,Silver
1960,Sailing,Sailing,BEL,Men,Bronze
1964,Athletics,Athletics,BEL,Men,Gold
1964,Cycling,Cycling Road,BEL,Men,Bronze
1964,Cycling,Cycling Track,BEL,Men,Gold
1968,Cycling,Cycling Track,BEL,Men,Bronze
1968,Cycling,Cycling Track,BEL,Men,Bronze
1968,Weightlifting,Weightlifting,BEL,Men,Silver
1972,Athletics,Athletics,BEL,Men,Silver
1972,Athletics,Athletics,BEL,Men,Silver
1976,Athletics,Athletics,BEL,Men,Silver
1976,Athletics,Athletics,BEL,Men,Silver
1976,Athletics,Athletics,BEL,Men,Bronze
1976,Cycling,Cycling Track,BEL,Men,Silver
1976,Equestrian,Jumping,BEL,Men,Bronze
1976,Equestrian,Jumping,BEL,Men,Bronze
1976,Equestrian,Jumping,BEL,Men,Bronze
1976,Equestrian,Jumping,BEL,Men,Bronze
1976,Equestrian,Jumping,BEL,Men,Bronze
1980,Judo,Judo,BEL,Men,Gold
1984,Aquatics,Swimming,BEL,Women,Bronze
1984,Cycling,Cycling Track,BEL,Men,Gold
1984,Rowing,Rowing,BEL,Men,Silver
1984,Rowing,Rowing,BEL,Men,Silver
1984,Rowing,Rowing,BEL,Women,Bronze
1988,Judo,Judo,BEL,Men,Bronze
1988,Shooting,Shooting,BEL,Men,Bronze
1992,Cycling,Cycling Track,BEL,Men,Bronze
1992,Judo,Judo,BEL,Women,Bronze
1992,Rowing,Rowing,BEL,Women,Silver
1996,Aquatics,Swimming,BEL,Men,Gold
1996,Judo,Judo,BEL,Men,Bronze
1996,Judo,Judo,BEL,Women,Bronze
1996,Judo,Judo,BEL,Women,Silver
1996,Judo,Judo,BEL,Women,Gold
1996,Sailing,Sailing,BEL,Men,Silver
2000,Cycling,Cycling Track,BEL,Men,Silver
2000,Cycling,Cycling Track,BEL,Men,Silver
2000,Cycling,Mountain Bike,BEL,Men,Silver
2000,Judo,Judo,BEL,Women,Bronze
2000,Judo,Judo,BEL,Women,Bronze
2000,Tennis,Tennis,BEL,Women,Bronze
2000,Tennis,Tennis,BEL,Women,Bronze
2004,Cycling,Cycling Road,BEL,Men,Bronze
2004,Judo,Judo,BEL,Women,Bronze
2004,Tennis,Tennis,BEL,Women,Gold
2008,Athletics,Athletics,BEL,Women,Silver
2008,Athletics,Athletics,BEL,Women,Silver
2008,Athletics,Athletics,BEL,Women,Silver
2008,Athletics,Athletics,BEL,Women,Silver
2008,Athletics,Athletics,BEL,Women,Gold
2012,Judo,Judo,BEL,Women,Bronze
2012,Sailing,Sailing,BEL,Women,Bronze
2012,Shooting,Shooting,BEL,Men,Silver
1976,Boxing,Boxing,BER,Men,Bronze
1996,Athletics,Athletics,BLR,Men,Bronze
1996,Athletics,Athletics,BLR,Men,Silver
1996,Athletics,Athletics,BLR,Women,Bronze
1996,Athletics,Athletics,BLR,Women,Silver
1996,Gymnastics,Artistic G.,BLR,Men,Bronze
1996,Gymnastics,Artistic G.,BLR,Men,Bronze
1996,Gymnastics,Artistic G.,BLR,Men,Bronze
1996,Gymnastics,Artistic G.,BLR,Men,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Bronze
1996,Rowing,Rowing,BLR,Women,Gold
1996,Shooting,Shooting,BLR,Men,Silver
1996,Wrestling,Wrestling Free.,BLR,Men,Silver
1996,Wrestling,Wrestling Gre-R,BLR,Men,Silver
1996,Wrestling,Wrestling Gre-R,BLR,Men,Bronze
1996,Wrestling,Wrestling Gre-R,BLR,Men,Silver
2000,Athletics,Athletics,BLR,Women,Bronze
2000,Athletics,Athletics,BLR,Women,Gold
2000,Athletics,Athletics,BLR,Men,Bronze
2000,Athletics,Athletics,BLR,Women,Bronze
2000,Athletics,Athletics,BLR,Women,Gold
2000,Gymnastics,Rhythmic G.,BLR,Women,Silver
2000,Gymnastics,Rhythmic G.,BLR,Women,Silver
2000,Gymnastics,Rhythmic G.,BLR,Women,Silver
2000,Gymnastics,Rhythmic G.,BLR,Women,Silver
2000,Gymnastics,Rhythmic G.,BLR,Women,Silver
2000,Gymnastics,Rhythmic G.,BLR,Women,Silver
2000,Gymnastics,Rhythmic G.,BLR,Women,Silver
2000,Judo,Judo,BLR,Men,Bronze
2000,Modern Pentathlon,Modern Pentath.,BLR,Men,Bronze
2000,Rowing,Rowing,BLR,Women,Gold
2000,Shooting,Shooting,BLR,Men,Bronze
2000,Shooting,Shooting,BLR,Women,Bronze
2000,Shooting,Shooting,BLR,Men,Silver
2000,Shooting,Shooting,BLR,Men,Bronze
2000,Weightlifting,Weightlifting,BLR,Men,Bronze
2000,Weightlifting,Weightlifting,BLR,Men,Bronze
2000,Wrestling,Wrestling Gre-R,BLR,Men,Bronze
2004,Athletics,Athletics,BLR,Women,Gold
2004,Athletics,Athletics,BLR,Women,Bronze
2004,Athletics,Athletics,BLR,Men,Silver
2004,Boxing,Boxing,BLR,Men,Silver
2004,Boxing,Boxing,BLR,Men,Silver
2004,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Bronze
2004,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Bronze
2004,Cycling,Cycling Track,BLR,Women,Bronze
2004,Judo,Judo,BLR,Men,Gold
2004,Rowing,Rowing,BLR,Women,Bronze
2004,Rowing,Rowing,BLR,Women,Bronze
2004,Rowing,Rowing,BLR,Women,Silver
2004,Shooting,Shooting,BLR,Men,Bronze
2004,Weightlifting,Weightlifting,BLR,Women,Bronze
2004,Weightlifting,Weightlifting,BLR,Women,Silver
2004,Weightlifting,Weightlifting,BLR,Men,Silver
2004,Wrestling,Wrestling Gre-R,BLR,Men,Bronze
2008,Athletics,Athletics,BLR,Men,Silver
2008,Athletics,Athletics,BLR,Men,Bronze
2008,Athletics,Athletics,BLR,Men,Silver
2008,Athletics,Athletics,BLR,Women,Gold
2008,Athletics,Athletics,BLR,Men,Bronze
2008,Athletics,Athletics,BLR,Women,Bronze
2008,Athletics,Athletics,BLR,Women,Silver
2008,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Gold
2008,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Gold
2008,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Bronze
2008,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Bronze
2008,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Gold
2008,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Gold
2008,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Gold
2008,Canoe / Kayak,Canoe / Kayak F,BLR,Men,Gold
2008,Gymnastics,Rhythmic G.,BLR,Women,Bronze
2008,Gymnastics,Rhythmic G.,BLR,Women,Bronze
2008,Gymnastics,Rhythmic G.,BLR,Women,Bronze
2008,Gymnastics,Rhythmic G.,BLR,Women,Bronze
2008,Gymnastics,Rhythmic G.,BLR,Women,Bronze
2008,Gymnastics,Rhythmic G.,BLR,Women,Bronze
2008,Gymnastics,Rhythmic G.,BLR,Women,Silver
2008,Rowing,Rowing,BLR,Women,Bronze
2008,Rowing,Rowing,BLR,Women,Bronze
2008,Rowing,Rowing,BLR,Women,Bronze
2008,Weightlifting,Weightlifting,BLR,Men,Gold
2008,Weightlifting,Weightlifting,BLR,Women,Bronze
2008,Weightlifting,Weightlifting,BLR,Men,Silver
2008,Wrestling,Wrestling Free.,BLR,Men,Bronze
2008,Wrestling,Wrestling Gre-R,BLR,Men,Bronze
2012,Aquatics,Swimming,BLR,Women,Silver
2012,Aquatics,Swimming,BLR,Women,Silver
2012,Canoe,Canoe Sprint,BLR,Men,Silver
2012,Canoe,Canoe Sprint,BLR,Men,Silver
2012,Canoe,Canoe Sprint,BLR,Men,Silver
2012,Canoe,Canoe Sprint,BLR,Men,Silver
2012,Canoe,Canoe Sprint,BLR,Women,Bronze
2012,Canoe,Canoe Sprint,BLR,Women,Bronze
2012,Canoe,Canoe Sprint,BLR,Women,Bronze
2012,Canoe,Canoe Sprint,BLR,Women,Bronze
2012,Gymnastics,Gymnastics Rhythmic,BLR,Women,Silver
2012,Gymnastics,Gymnastics Rhythmic,BLR,Women,Silver
2012,Gymnastics,Gymnastics Rhythmic,BLR,Women,Silver
2012,Gymnastics,Gymnastics Rhythmic,BLR,Women,Silver
2012,Gymnastics,Gymnastics Rhythmic,BLR,Women,Silver
2012,Gymnastics,Gymnastics Rhythmic,BLR,Women,Silver
2012,Gymnastics,Gymnastics Rhythmic,BLR,Women,Bronze
2012,Shooting,Shooting,BLR,Men,Gold
2012,Tennis,Tennis,BLR,Women,Gold
2012,Tennis,Tennis,BLR,Men,Gold
2012,Tennis,Tennis,BLR,Women,Bronze
1900,Athletics,Athletics,BOH,Men,Silver
1900,Tennis,Tennis,BOH,Women,Bronze
1908,Fencing,Fencing,BOH,Men,Bronze
1908,Fencing,Fencing,BOH,Men,Bronze
1908,Fencing,Fencing,BOH,Men,Bronze
1908,Fencing,Fencing,BOH,Men,Bronze
1908,Fencing,Fencing,BOH,Men,Bronze
2012,Athletics,Athletics,BOT,Men,Silver
1920,Shooting,Shooting,BRA,Men,Gold
1920,Shooting,Shooting,BRA,Men,Bronze
1920,Shooting,Shooting,BRA,Men,Bronze
1920,Shooting,Shooting,BRA,Men,Bronze
1920,Shooting,Shooting,BRA,Men,Bronze
1920,Shooting,Shooting,BRA,Men,Bronze
1920,Shooting,Shooting,BRA,Men,Silver
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1948,Basketball,Basketball,BRA,Men,Bronze
1952,Aquatics,Swimming,BRA,Men,Bronze
1952,Athletics,Athletics,BRA,Men,Bronze
1952,Athletics,Athletics,BRA,Men,Gold
1956,Athletics,Athletics,BRA,Men,Gold
1960,Aquatics,Swimming,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1960,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1964,Basketball,Basketball,BRA,Men,Bronze
1968,Athletics,Athletics,BRA,Men,Silver
1968,Boxing,Boxing,BRA,Men,Bronze
1968,Sailing,Sailing,BRA,Men,Bronze
1968,Sailing,Sailing,BRA,Men,Bronze
1972,Athletics,Athletics,BRA,Men,Bronze
1972,Judo,Judo,BRA,Men,Bronze
1976,Athletics,Athletics,BRA,Men,Bronze
1976,Sailing,Sailing,BRA,Men,Bronze
1976,Sailing,Sailing,BRA,Men,Bronze
1980,Aquatics,Swimming,BRA,Men,Bronze
1980,Aquatics,Swimming,BRA,Men,Bronze
1980,Aquatics,Swimming,BRA,Men,Bronze
1980,Aquatics,Swimming,BRA,Men,Bronze
1980,Athletics,Athletics,BRA,Men,Bronze
1980,Sailing,Sailing,BRA,Men,Gold
1980,Sailing,Sailing,BRA,Men,Gold
1980,Sailing,Sailing,BRA,Men,Gold
1980,Sailing,Sailing,BRA,Men,Gold
1984,Aquatics,Swimming,BRA,Men,Silver
1984,Athletics,Athletics,BRA,Men,Gold
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Football,Football,BRA,Men,Silver
1984,Judo,Judo,BRA,Men,Bronze
1984,Judo,Judo,BRA,Men,Bronze
1984,Judo,Judo,BRA,Men,Silver
1984,Sailing,Sailing,BRA,Men,Silver
1984,Sailing,Sailing,BRA,Men,Silver
1984,Sailing,Sailing,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1984,Volleyball,Volleyball,BRA,Men,Silver
1988,Athletics,Athletics,BRA,Men,Bronze
1988,Athletics,Athletics,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Football,Football,BRA,Men,Silver
1988,Judo,Judo,BRA,Men,Gold
1988,Sailing,Sailing,BRA,Men,Bronze
1988,Sailing,Sailing,BRA,Men,Bronze
1988,Sailing,Sailing,BRA,Men,Bronze
1988,Sailing,Sailing,BRA,Men,Bronze
1992,Aquatics,Swimming,BRA,Men,Silver
1992,Judo,Judo,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1992,Volleyball,Volleyball,BRA,Men,Gold
1996,Aquatics,Swimming,BRA,Men,Bronze
1996,Aquatics,Swimming,BRA,Men,Silver
1996,Aquatics,Swimming,BRA,Men,Bronze
1996,Athletics,Athletics,BRA,Men,Bronze
1996,Athletics,Athletics,BRA,Men,Bronze
1996,Athletics,Athletics,BRA,Men,Bronze
1996,Athletics,Athletics,BRA,Men,Bronze
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Basketball,Basketball,BRA,Women,Silver
1996,Equestrian,Jumping,BRA,Men,Bronze
1996,Equestrian,Jumping,BRA,Men,Bronze
1996,Equestrian,Jumping,BRA,Men,Bronze
1996,Equestrian,Jumping,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Football,Football,BRA,Men,Bronze
1996,Judo,Judo,BRA,Men,Bronze
1996,Judo,Judo,BRA,Men,Bronze
1996,Sailing,Sailing,BRA,Men,Gold
1996,Sailing,Sailing,BRA,Men,Bronze
1996,Sailing,Sailing,BRA,Men,Bronze
1996,Sailing,Sailing,BRA,Men,Gold
1996,Sailing,Sailing,BRA,Men,Gold
1996,Volleyball,Beach volley.,BRA,Women,Gold
1996,Volleyball,Beach volley.,BRA,Women,Gold
1996,Volleyball,Beach volley.,BRA,Women,Silver
1996,Volleyball,Beach volley.,BRA,Women,Silver
1996,Volleyball,Volleyball,BRA,Women,Bronze
1996,Volleyball,Volleyball,BRA,Women,Bronze
